Term,Dominant_Subject
opening,mathematics
operating,chemistry
operation,physics
opposite,mathematics
opq,mathematics
opqr,mathematics
opqrs,mathematics
opr,mathematics
optically,chemistry
oqr,mathematics
oqs,mathematics
or,chemistry
orange,mathematics
orbit,physics
orbital,chemistry
orbitals,chemistry
order,chemistry
ordering,chemistry
ordinate,mathematics
ore,chemistry
orientation,physics
orifice,physics
origin,physics
orthocenter,mathematics
orthocentre,mathematics
oscillation,physics
oscillator,physics
osf2,chemistry
oso,chemistry
outcome,mathematics
outer,physics
output,chemistry
outwards,physics
overlap,chemistry
overtone,physics
oxidation,chemistry
oxide,chemistry
oxidizing,chemistry
oxime,chemistry
oxoacid,chemistry
oxoacids,chemistry
oxygen,chemistry
ozonolysis,chemistry
p0v0,chemistry
p1v1,physics
p2v2,physics
p4o6,chemistry
p4o7,chemistry
pab,mathematics
pack,mathematics
packing,chemistry
pair,chemistry
pairwise,physics
pan,physics
paper,physics
para,chemistry
parabola,mathematics
parallel,physics
parallelepiped,mathematics
parallelogram,mathematics
parallelopiped,mathematics
paramagnetic,chemistry
parameter,physics
parent,chemistry
parenthesis,chemistry
part,mathematics
partial,chemistry
particle,physics
partition,physics
pas,physics
paschen,physics
pass,mathematics
passage,chemistry
passenger,physics
passing,physics
path,physics
pathway,chemistry
pattern,chemistry
pauli,chemistry
pb,chemistry
pb2,chemistry
pbcl,chemistry
pbr,chemistry
pbr3,chemistry
pbso,chemistry
pci3,chemistry
pdcl,chemistry
peak,chemistry
pebble,physics
pendulum,physics
pentachloride,chemistry
pentanol,chemistry
pentanone,chemistry
pep,mathematics
peptide,chemistry
peptization,chemistry
percentage,physics
perchlorate,chemistry
perfect,physics
performance,physics
performs,physics
perimeter,mathematics
period,physics
periphery,physics
periplanar,chemistry
permanganate,chemistry
permeability,physics
permittivities,physics
permittivity,physics
permutation,chemistry
peroxide,chemistry
peroxyester,chemistry
peroxyesters,chemistry
perpendicular,mathematics
person,physics
pext,chemistry
pfq,mathematics
ph,chemistry
phase,chemistry
phch2mgbr,chemistry
phcho,chemistry
phcoch,chemistry
phcoo,chemistry
phe,chemistry
phenol,chemistry
phenomenon,chemistry
phenoxide,chemistry
phenyl,chemistry
phenylalanine,chemistry
phenylbenzamide,chemistry
phenylethanol,chemistry
phenylmethanamine,chemistry
phenylpropanoic,chemistry
phosgene,chemistry
phosphate,chemistry
phosphine,chemistry
phosphorus,chemistry
photo,physics
photoelectric,chemistry
photoelectron,physics
photon,physics
phsna,chemistry
phthalate,chemistry
phthalein,chemistry
phthalic,chemistry
phthalide,chemistry
phthalimide,chemistry
physisorption,chemistry
picture,mathematics
piece,physics
pig,chemistry
pin,physics
pink,chemistry
pipe,physics
piston,physics
pitch,physics
pivot,physics
place,physics
planar,chemistry
planck,physics
plane,physics
planet,physics
plank,physics
plano,physics
plant,physics
plasma,physics
plastic,physics
plate,physics
platform,physics
player,mathematics
playground,physics
plot,chemistry
plug,physics
pmn,mathematics
pmqn,chemistry
poci3,chemistry
pocl,chemistry
point,mathematics
pointing,physics
poiseulles,physics
polar,chemistry
polarity,physics
polarization,physics
polaroid,physics
pole,physics
police,physics
poly,physics
polybutylene,chemistry
polygon,mathematics
polyhydroxy,chemistry
polymer,chemistry
polymerization,chemistry
polynomial,mathematics
polypropylene,chemistry
polythene,chemistry
pool,physics
portion,physics
position,physics
positron,physics
positronium,physics
possess,chemistry
post,physics
potassium,chemistry
potential,physics
powder,chemistry
power,physics
pph,chemistry
pph3,chemistry
pqp,mathematics
pqr,mathematics
pqrs,mathematics
pqs,mathematics
pr,mathematics
pre,chemistry
precipitate,chemistry
precipitation,chemistry
preferential,physics
preparation,chemistry
presence,chemistry
present,chemistry
presentation,chemistry
pressure,chemistry
primary,chemistry
principal,chemistry
principle,chemistry
prism,physics
probability,mathematics
problem,mathematics
proceeds,chemistry
process,physics
produce,chemistry
product,chemistry
production,physics
profile,chemistry
progress,chemistry
progression,mathematics
projectile,physics
projection,chemistry
prong,physics
propagating,physics
propagation,chemistry
propane,chemistry
property,chemistry
proportion,chemistry
proportional,physics
proportionality,physics
propylbenzene,chemistry
propylene,chemistry
propyne,chemistry
prostaglandin,chemistry
protein,chemistry
proton,physics
pseudo,chemistry
ptbr,chemistry
ptcl,chemistry
ptcl4,chemistry
ptn,mathematics
ptsa,chemistry
pull,physics
pulley,physics
pulse,physics
pump,physics
pupil,physics
pure,chemistry
purpose,physics
put,physics
pvc,chemistry
pyramid,mathematics
pyramidal,chemistry
pyranose,mathematics
pyridine,chemistry
pyrite,chemistry
q3negative,physics
q4negative,physics
q4positive,physics
qbc,physics
qbf,physics
qiaf,physics
qib,physics
qpq,mathematics
qpr,mathematics
qrp,mathematics
qrs,mathematics
quadrant,mathematics
quality,physics
quantity,physics
quantization,physics
quantum,chemistry
quarter,physics
quasi,physics
question,mathematics
queue,mathematics
quinoline,chemistry
quiz,mathematics
racemic,chemistry
racemization,chemistry
rad,physics
radial,physics
radian,physics
radiating,physics
radiation,physics
radiator,chemistry
radioisotope,physics
radius,physics
rail,physics
railway,physics
ramp,physics
random,mathematics
raney,chemistry
range,physics
raoult,chemistry
rat,physics
rate,physics
ratio,physics
ray,physics
rch,chemistry
react,chemistry
reactant,chemistry
reaction,chemistry
reactivity,chemistry
reactor,physics
reacts,chemistry
reading,physics
reagent,chemistry
real,physics
reason,physics
receiver,physics
record,physics
rectangle,mathematics
rectangular,physics
rectum,mathematics
red,chemistry
redox,chemistry
reduces,physics
reducing,chemistry
reduction,chemistry
refer,physics
reference,physics
refining,chemistry
reflection,physics
reflectivity,physics
refracting,physics
refraction,physics
refractive,physics
regia,chemistry
region,physics
relation,physics
relationship,physics
relative,physics
release,physics
remain,physics
remains,physics
removal,chemistry
remove,chemistry
repetition,mathematics
replace,chemistry
replacement,mathematics
representation,chemistry
repulsion,chemistry
requirement,physics
reservoir,chemistry
resistance,physics
resistancer2,physics
resistancesr1,physics
resistivity,physics
resistor,physics
resonance,physics
resonant,physics
rest,physics
restitution,physics
restoring,physics
result,chemistry
resultant,physics
retention,chemistry
return,physics
reverberatory,chemistry
reverse,chemistry
revolution,physics
rhc,physics
rhcl,chemistry
rho,physics
rhombus,mathematics
rib,physics
right,physics
rim,physics
ring,physics
rise,chemistry
rms,physics
road,physics
roasting,chemistry
rock,physics
rocket,physics
rod,physics
roh,chemistry
role,chemistry
roll,physics
roller,physics
rom,mathematics
room,chemistry
root,mathematics
rope,physics
rosenmund,chemistry
rotate,physics
rotates,physics
rotation,physics
round,mathematics
row,mathematics
rpgh,physics
rps,mathematics
rt0,chemistry
rto,mathematics
rubber,chemistry
rucl,chemistry
rule,chemistry
rydberg,physics
salicylic,chemistry
salt,chemistry
sample,physics
sandbag,physics
sandmeyer,chemistry
satellite,physics
satisfy,physics
satisfying,mathematics
sb2s3,physics
scalar,mathematics
scale,physics
scheme,chemistry
school,mathematics
schottky,chemistry
sci2,chemistry
scientist,physics
scl,chemistry
scn,chemistry
score,mathematics
screen,physics
screw,physics
searle,physics
seat,mathematics
sec,mathematics
second,physics
secondary,chemistry
section,physics
secx,mathematics
see,physics
segment,mathematics
selection,mathematics
self,chemistry
semi,physics
sensitivity,physics
sensor,physics
separation,physics
sequence,chemistry
series,physics
serine,chemistry
serum,chemistry
set,mathematics
setup,physics
sf4,chemistry
shadow,physics
shaft,physics
shape,physics
sheet,physics
shell,physics
shift,physics
ship,mathematics
shm,physics
shot,physics
show,chemistry
showing,chemistry
shunt,physics
sicl,chemistry
side,physics
siderite,chemistry
sif4,chemistry
sight,physics
sigma,physics
sign,physics
signal,physics
significance,chemistry
silica,chemistry
silicate,chemistry
silver,chemistry
similarly,chemistry
sin,mathematics
sin2a,mathematics
sin2c,mathematics
sinkx,mathematics
sint,mathematics
sinusoidal,physics
sinx,mathematics
sio32,chemistry
siren,physics
site,chemistry
situ,chemistry
six,physics
size,physics
sketch,chemistry
skew,mathematics
slab,physics
slag,chemistry
slide,physics
slit,physics
slope,mathematics
smell,chemistry
sn1,chemistry
sn2,chemistry
sncl,chemistry
snf,chemistry
sns2,chemistry
so2,chemistry
so2ci2,chemistry
so3,chemistry
so4,chemistry
soap,physics
soci2,chemistry
socl2,chemistry
sodium,chemistry
soe,mathematics
soft,physics
soil,chemistry
sol,chemistry
sole,chemistry
solenoid,physics
solid,chemistry
solubility,chemistry
solute,chemistry
solution,chemistry
solvent,chemistry
som,mathematics
sound,physics
source,physics
space,physics
special,physics
specie,chemistry
spectrum,physics
speed,physics
spent,physics
sph,chemistry
sphere,physics
spin,chemistry
spiral,physics
split,physics
splitting,physics
spot,physics
spray,physics
spread,chemistry
spring,physics
sps,mathematics
spu,physics
square,mathematics
ssurroundings,chemistry
ssystem,chemistry
stability,chemistry
stabilization,chemistry
stack,physics
stand,physics
standard,chemistry
standing,physics
star,physics
start,physics
starting,chemistry
state,physics
station,mathematics
statment,chemistry
steam,chemistry
stearate,chemistry
steel,physics
steeper,chemistry
stefan,physics
step,chemistry
stephen,chemistry
stepwise,chemistry
stereo,chemistry
stereochemistry,chemistry
stereoisomers,chemistry
steric,chemistry
stick,physics
stiff,physics
stiffness,physics
stock,chemistry
stoichiometry,chemistry
stone,physics
stop,physics
stoppage,physics
storage,physics
stp,physics
straight,physics
strain,physics
strand,chemistry
stream,chemistry
strength,physics
stress,physics
stretched,physics
strike,physics
string,physics
strip,physics
strong,chemistry
stronger,chemistry
stu,physics
student,physics
study,mathematics
styrene,chemistry
subject,physics
subsequently,chemistry
subset,mathematics
substance,chemistry
substituent,chemistry
substituents,chemistry
substitution,chemistry
suffers,physics
sugar,chemistry
sulfate,chemistry
sulfide,chemistry
sulfonation,chemistry
sulphate,chemistry
sulphide,chemistry
sulphur,chemistry
sum,mathematics
sun,physics
sunlight,physics
superconductor,chemistry
superoxide,chemistry
support,physics
surface,physics
surfactant,chemistry
surrounding,physics
surroundings,physics
surroundingsis,physics
suspension,physics
sweetener,chemistry
switch,physics
symmetric,mathematics
symmetry,chemistry
symptom,mathematics
synthesis,chemistry
system,physics
syz,physics
table,physics
tail,mathematics
take,physics
taking,physics
tall,physics
talose,chemistry
tan,mathematics
tangent,mathematics
tank,physics
tanx,mathematics
tao,physics
target,physics
tautomers,chemistry
team,mathematics
tebr,chemistry
technique,physics
teflon,chemistry
temperature,physics
ten,physics
tennis,physics
tension,physics
term,physics
terminal,physics
termination,chemistry
terrace,physics
tert,chemistry
tesla,physics
test,chemistry
tetraamminenickel,chemistry
tetraamminenickelate,chemistry
tetraaquadiaminecobalt,chemistry
tetraaquadiamminecobalt,chemistry
tetrachloronickel,chemistry
tetrachloronickelate,chemistry
tetraenes,chemistry
tetrafluoroethene,chemistry
tetrahedral,chemistry
tetrahedron,mathematics
tetrahydronaphthalene,chemistry
tetralinone,chemistry
tetrapeptide,chemistry
theory,chemistry
thereafter,physics
thermal,chemistry
thermodynamics,chemistry
thf,chemistry
thick,physics
thickness,physics
thin,physics
thiocyanate,chemistry
thiocyanato,chemistry
thiosulphate,chemistry
thread,physics
three,mathematics
threshold,physics
thrice,mathematics
thus,physics
time,physics
timet,physics
tin,chemistry
tip,physics
titrant,chemistry
titrants,chemistry
titrate,chemistry
titrates,chemistry
titration,chemistry
toa,physics
tollen,chemistry
tollens,chemistry
toluene,chemistry
toluic,chemistry
tool,physics
top,physics
topmost,physics
torque,physics
torr,chemistry
toss,mathematics
total,physics
touch,mathematics
towards,physics
toy,physics
trace,mathematics
track,physics
train,physics
trajectory,physics
trans,chemistry
transfer,physics
transformation,chemistry
transformer,physics
transforms,chemistry
transition,chemistry
transmission,physics
transmits,physics
transmitter,physics
transmutation,physics
transparent,physics
transpose,mathematics
transverse,physics
trapping,chemistry
travel,physics
traversal,physics
treating,chemistry
treatment,chemistry
trend,chemistry
tri,chemistry
triacetate,chemistry
triangle,mathematics
tribromobenzene,chemistry
tricarbaldehyde,chemistry
triethylphosphine,chemistry
trigonal,chemistry
trimethylbenzene,chemistry
trinitro,chemistry
tris,chemistry
true,mathematics
tube,physics
tungsten,physics
tuning,physics
tunnel,physics
turn,physics
twelve,mathematics
twice,mathematics
two,chemistry
tyndall,chemistry
type,chemistry
ubc,physics
uca,physics
ultraviolet,chemistry
umyp,chemistry
uncertainty,physics
undergoes,physics
understanding,chemistry
uniform,physics
union,mathematics
unit,physics
unity,mathematics
universal,chemistry
unsaturation,chemistry
upon,chemistry
upwards,physics
uranium,chemistry
urea,chemistry
urn,mathematics
use,chemistry
v0e,physics
v2and2r1,physics
v2andr,physics
vacuum,physics
val,chemistry
valence,chemistry
valid,physics
valine,chemistry
valve,chemistry
van,chemistry
vanishes,mathematics
vapor,chemistry
vapour,chemistry
variable,mathematics
variance,mathematics
variation,physics
varies,physics
various,physics
vary,chemistry
vcl5,chemistry
vec,mathematics
vector,mathematics
vehicle,physics
velocity,physics
vernier,physics
versus,chemistry
vertex,mathematics
vertical,physics
vessel,chemistry
vibrates,physics
vibration,physics
vibrator,physics
view,physics
village,physics
vinyl,physics
violet,chemistry
virtual,physics
viscosity,physics
visit,mathematics
vmxn,chemistry
voi,physics
void,chemistry
vol,chemistry
volt,physics
voltage,physics
voltmeter,physics
volume,physics
vsepr,chemistry
waals,chemistry
wadia,physics
waf,physics
walk,physics
wall,physics
watch,physics
water,chemistry
watt,physics
wave,physics
waveform,mathematics
wavefront,physics
wavelength,physics
way,mathematics
wbf,physics
wedge,physics
weight,chemistry
weightlessness,physics
welding,chemistry
well,physics
wet,physics
wheatstone,physics
wheel,physics
whereas,chemistry
whistle,physics
white,chemistry
whole,physics
wib,physics
width,physics
wien,chemistry
wife,chemistry
wind,physics
window,physics
wire,physics
wire1,physics
wire2,physics
wiso,physics
wood,physics
wool,physics
work,physics
wound,physics
wxyzw,physics
wyz,physics
x10,physics
x100,physics
xbr,chemistry
xdy,mathematics
xef4,chemistry
xef6,chemistry
xenon,chemistry
xeo,chemistry
xln,physics
xoh,chemistry
xome,chemistry
xona,chemistry
xylene,chemistry
xyz,mathematics
xz4,chemistry
y,physics
year,physics
yield,chemistry
ynoic,chemistry
yon,physics
young,physics
zero,physics
zinc,chemistry
zincite,chemistry
zmw,mathematics
zmxn,chemistry
zn,chemistry
zn2,chemistry
zncl,chemistry
znco,chemistry
zno,chemistry
znso,chemistry
