Term,Dominant_Subject
constant,physics
constraint,physics
construct,chemistry
consumer,physics
consumption,chemistry
contact,physics
container,physics
containing,chemistry
content,chemistry
context,physics
contrast,physics
contribution,chemistry
convention,physics
convergent,chemistry
conversion,chemistry
convex,physics
coo,chemistry
cooch,chemistry
cooh,chemistry
cook,chemistry
cooler,physics
cooling,physics
coome,chemistry
coona,chemistry
coordinate,mathematics
coordination,chemistry
coplanar,mathematics
copolymer,chemistry
copper,chemistry
core,physics
corner,physics
correction,physics
correspond,physics
corresponding,physics
corresponds,physics
cosec,mathematics
cosecx,mathematics
cosine,mathematics
cost,mathematics
cosx,mathematics
cot,mathematics
cotton,physics
cotx,mathematics
cough,mathematics
coulomb,physics
count,physics
counter,physics
counterclockwise,physics
coupling,chemistry
covalent,chemistry
cover,physics
craft,chemistry
crb,chemistry
crcl,chemistry
cresol,chemistry
criterion,physics
cro3,chemistry
cross,physics
crust,chemistry
cryolite,chemistry
crystal,physics
crystalline,chemistry
cso,chemistry
cu,chemistry
cu2,chemistry
cu2o,chemistry
cu2s,chemistry
cube,mathematics
cubic,chemistry
cucl,chemistry
cucn,chemistry
cuco,chemistry
cuf,chemistry
cuf6,chemistry
cufes,chemistry
cufes2,chemistry
cumene,chemistry
cuo,chemistry
cuprite,chemistry
current,physics
curvature,physics
curve,mathematics
cuso,chemistry
cuso4,chemistry
cut,physics
cyanide,chemistry
cyano,chemistry
cyanohydrin,chemistry
cyanophenol,chemistry
cycle,physics
cyclic,chemistry
cyclohexanone,chemistry
cyclohexene,chemistry
cyclopentadienyl,chemistry
cyclopentylhexane,chemistry
cylinder,physics
cylindrical,physics
cysteine,chemistry
d2sp,chemistry
dacron,chemistry
dark,physics
data,chemistry
day,chemistry
debate,mathematics
decapeptide,chemistry
decarboxylation,chemistry
decay,chemistry
decomposition,chemistry
decrease,chemistry
decreasing,chemistry
defect,chemistry
deficient,chemistry
defining,chemistry
definition,chemistry
deflection,physics
degeneracy,physics
degradation,chemistry
degree,chemistry
dehydration,chemistry
dehydrobromination,chemistry
dehydrogenation,chemistry
delocalisations,physics
delocalization,chemistry
delta,mathematics
density,physics
deoxyribose,chemistry
dependence,chemistry
dependency,physics
dependent,physics
depends,physics
depict,physics
deposit,chemistry
deposition,physics
depression,chemistry
depth,physics
der,chemistry
derivative,mathematics
description,chemistry
design,physics
detector,physics
determinant,mathematics
determination,physics
determine,mathematics
deuteron,physics
development,chemistry
